,Config,Filename,Model,Name,Species,Citations
0,"['pair_style eam\n', 'pair_coeff 1 1 Cu_smf7.eam\n', 'pair_coeff 2 2 Ni_smf7.eam\n']","['potential_LAMMPS/1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1/Cu_smf7.eam', 'potential_LAMMPS/1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1/Ni_smf7.eam']",NISTiprpy,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,"['Cu', 'Ni']","[{'Foiles_1985': {'title': 'Calculation of the surface segregation of Ni-Cu alloys with the use of the embedded-atom method', 'journal': 'Physical Review B', 'volume': '32', 'pages': '7685--7693', 'number': '12', 'doi': '10.1103/physrevb.32.7685', 'publisher': 'American Physical Society (APS)', 'url': 'https://doi.org/10.1103%2Fphysrevb.32.7685', 'year': '1985', 'author': ['S. M. Foiles']}}]"
1,"['pair_style sw\n', 'pair_coeff * * Si.sw Si\n']",['potential_LAMMPS/1985--Stillinger-F-H--Si--LAMMPS--ipr1/Si.sw'],NISTiprpy,1985--Stillinger-F-H--Si--LAMMPS--ipr1,['Si'],"[{'Stillinger_1985': {'title': 'Computer simulation of local order in condensed phases of silicon', 'journal': 'Physical Review B', 'volume': '31', 'pages': '5262--5271', 'number': '8', 'doi': '10.1103/physrevb.31.5262', 'publisher': 'American Physical Society (APS)', 'url': 'https://doi.org/10.1103%2Fphysrevb.31.5262', 'year': '1985', 'author': ['Frank H. Stillinger', 'Thomas A. Weber']}}, {'Stillinger_1986': {'title': 'Erratum: Computer simulation of local order in condensed phases of silicon [Phys. Rev. B 31, 5262 (1985)]', 'journal': 'Physical Review B', 'volume': '33', 'pages': '1451--1451', 'number': '2', 'doi': '10.1103/physrevb.33.1451', 'publisher': 'American Physical Society (APS)', 'url': 'https://doi.org/10.1103%2Fphysrevb.33.1451', 'year': '1986', 'author': ['Frank H. Stillinger', 'Thomas A. Weber']}}]"
2,"['pair_style eam\n', 'pair_coeff 1 1 Ag_u3.eam\n']",['potential_LAMMPS/1986--Foiles-S-M--Ag--LAMMPS--ipr1/Ag_u3.eam'],NISTiprpy,1986--Foiles-S-M--Ag--LAMMPS--ipr1,['Ag'],"[{'Foiles_1986': {'title': 'Embedded-atom-method functions for the fcc metals Cu, Ag, Au, Ni, Pd, Pt, and their alloys', 'journal': 'Physical Review B', 'volume': '33', 'pages': '7983--7991', 'number': '12', 'doi': '10.1103/physrevb.33.7983', 'publisher': 'American Physical Society (APS)', 'url': 'https://doi.org/10.1103%2Fphysrevb.33.7983', 'year': '1986', 'author': ['S. M. Foiles', 'M. I. Baskes', 'M. S. Daw']}}]"
3,"['pair_style eam\n', 'pair_coeff 1 1 Ag_u3.eam\n', 'pair_coeff 2 2 Au_u3.eam\n', 'pair_coeff 3 3 Cu_u3.eam\n', 'pair_coeff 4 4 Ni_u3.eam\n', 'pair_coeff 5 5 Pd_u3.eam\n', 'pair_coeff 6 6 Pt_u3.eam\n']","['potential_LAMMPS/1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1/Ag_u3.eam', 'potential_LAMMPS/1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1/Au_u3.eam', 'potential_LAMMPS/1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1/Cu_u3.eam', 'potential_LAMMPS/1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1/Ni_u3.eam', 'potential_LAMMPS/1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1/Pd_u3.eam', 'potential_LAMMPS/1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1/Pt_u3.eam']",NISTiprpy,1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,"['Ag', 'Au', 'Cu', 'Ni', 'Pd', 'Pt']","[{'Foiles_1986': {'title': 'Embedded-atom-method functions for the fcc metals Cu, Ag, Au, Ni, Pd, Pt, and their alloys', 'journal': 'Physical Review B', 'volume': '33', 'pages': '7983--7991', 'number': '12', 'doi': '10.1103/physrevb.33.7983', 'publisher': 'American Physical Society (APS)', 'url': 'https://doi.org/10.1103%2Fphysrevb.33.7983', 'year': '1986', 'author': ['S. M. Foiles', 'M. I. Baskes', 'M. S. Daw']}}]"
4,"['pair_style eam\n', 'pair_coeff 1 1 Au_u3.eam\n']",['potential_LAMMPS/1986--Foiles-S-M--Au--LAMMPS--ipr1/Au_u3.eam'],NISTiprpy,1986--Foiles-S-M--Au--LAMMPS--ipr1,['Au'],"[{'Foiles_1986': {'title': 'Embedded-atom-method functions for the fcc metals Cu, Ag, Au, Ni, Pd, Pt, and their alloys', 'journal': 'Physical Review B', 'volume': '33', 'pages': '7983--7991', 'number': '12', 'doi': '10.1103/physrevb.33.7983', 'publisher': 'American Physical Society (APS)', 'url': 'https://doi.org/10.1103%2Fphysrevb.33.7983', 'year': '1986', 'author': ['S. M. Foiles', 'M. I. Baskes', 'M. S. Daw']}}]"
5,"['pair_style eam\n', 'pair_coeff 1 1 Cu_u3.eam\n']",['potential_LAMMPS/1986--Foiles-S-M--Cu--LAMMPS--ipr1/Cu_u3.eam'],NISTiprpy,1986--Foiles-S-M--Cu--LAMMPS--ipr1,['Cu'],"[{'Foiles_1986': {'title': 'Embedded-atom-method functions for the fcc metals Cu, Ag, Au, Ni, Pd, Pt, and their alloys', 'journal': 'Physical Review B', 'volume': '33', 'pages': '7983--7991', 'number': '12', 'doi': '10.1103/physrevb.33.7983', 'publisher': 'American Physical Society (APS)', 'url': 'https://doi.org/10.1103%2Fphysrevb.33.7983', 'year': '1986', 'author': ['S. M. Foiles', 'M. I. Baskes', 'M. S. Daw']}}]"
6,"['pair_style eam\n', 'pair_coeff 1 1 Ni_u3.eam\n']",['potential_LAMMPS/1986--Foiles-S-M--Ni--LAMMPS--ipr1/Ni_u3.eam'],NISTiprpy,1986--Foiles-S-M--Ni--LAMMPS--ipr1,['Ni'],"[{'Foiles_1986': {'title': 'Embedded-atom-method functions for the fcc metals Cu, Ag, Au, Ni, Pd, Pt, and their alloys', 'journal': 'Physical Review B', 'volume': '33', 'pages': '7983--7991', 'number': '12', 'doi': '10.1103/physrevb.33.7983', 'publisher': 'American Physical Society (APS)', 'url': 'https://doi.org/10.1103%2Fphysrevb.33.7983', 'year': '1986', 'author': ['S. M. Foiles', 'M. I. Baskes', 'M. S. Daw']}}]"
7,"['pair_style eam\n', 'pair_coeff 1 1 Pd_u3.eam\n']",['potential_LAMMPS/1986--Foiles-S-M--Pd--LAMMPS--ipr1/Pd_u3.eam'],NISTiprpy,1986--Foiles-S-M--Pd--LAMMPS--ipr1,['Pd'],"[{'Foiles_1986': {'title': 'Embedded-atom-method functions for the fcc metals Cu, Ag, Au, Ni, Pd, Pt, and their alloys', 'journal': 'Physical Review B', 'volume': '33', 'pages': '7983--7991', 'number': '12', 'doi': '10.1103/physrevb.33.7983', 'publisher': 'American Physical Society (APS)', 'url': 'https://doi.org/10.1103%2Fphysrevb.33.7983', 'year': '1986', 'author': ['S. M. Foiles', 'M. I. Baskes', 'M. S. Daw']}}]"
8,"['pair_style eam\n', 'pair_coeff 1 1 Pt_u3.eam\n']",['potential_LAMMPS/1986--Foiles-S-M--Pt--LAMMPS--ipr1/Pt_u3.eam'],NISTiprpy,1986--Foiles-S-M--Pt--LAMMPS--ipr1,['Pt'],"[{'Foiles_1986': {'title': 'Embedded-atom-method functions for the fcc metals Cu, Ag, Au, Ni, Pd, Pt, and their alloys', 'journal': 'Physical Review B', 'volume': '33', 'pages': '7983--7991', 'number': '12', 'doi': '10.1103/physrevb.33.7983', 'publisher': 'American Physical Society (APS)', 'url': 'https://doi.org/10.1103%2Fphysrevb.33.7983', 'year': '1986', 'author': ['S. M. Foiles', 'M. I. Baskes', 'M. S. Daw']}}]"
9,"['pair_style eam/fs\n', 'pair_coeff * * Ag.eam.fs Ag\n']",['potential_LAMMPS/1987--Ackland-G-J--Ag--LAMMPS--ipr1/Ag.eam.fs'],NISTiprpy,1987--Ackland-G-J--Ag--LAMMPS--ipr1,['Ag'],"[{'Ackland_1987': {'title': 'Simple N-body potentials for the noble metals and nickel', 'journal': 'Philosophical Magazine A', 'volume': '56', 'pages': '735--756', 'number': '6', 'doi': '10.1080/01418618708204485', 'publisher': 'Informa UK Limited', 'url': 'https://doi.org/10.1080%2F01418618708204485', 'year': '1987', 'author': ['G. J. Ackland', 'G. Tichy', 'V. Vitek', 'M. W. Finnis']}}]"
